,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,bario,year
76,177,26,0,151,,-,-,-,-,,-,-,-,,-,-,-,NC,2013-04-01
77,,,,,,,,,,,,,,,,,,empty,2013-04-01
78,10.606,1.003,115,9.488,,"83,1","86,3","69,5","83,0",,"258,3","287,1","254,4",,"2.754,5","3.116,2","2.705,3",Global,2013-04-01
79,,,,,,,,,,,,,,,,,,empty,2013-04-01
80,391,17,0,374,,"62,6","40,7",-,"63,2",,"141,7","99,1","143,1",,"2.087,6","2.534,3","2.073,5",1 1. el Raval,2013-04-01
81,258,36,0,222,,"95,5","80,1",-,"98,6",,"277,7","240,3","285,0",,"2.784,9","3.063,2","2.730,3",1 2. el Barri Gòtic,2013-04-01
82,182,55,0,127,,"42,8","46,6",-,"41,2",,"166,0","216,9","142,6",,"3.744,9","4.292,5","3.493,3",1 3. la Barceloneta,2013-04-01
83,277,32,0,245,,"74,6","60,1",-,"76,4",,"193,2","198,9","192,5",,"2.666,6","3.177,1","2.601,9","1 4. Sant Pere, Santa Caterina i la Ribera",2013-04-01
84,252,39,0,213,,"91,4","77,3",-,"94,2",,"320,0","431,6","295,9",,"3.401,0","5.501,6","2.947,5",2 5. el Fort Pienc,2013-04-01
85,72,3,0,69,,"60,9","60,0",-,"60,9",,"145,3","203,3","141,8",,"2.502,0","3.388,9","2.448,7",2 6. la Sagrada Família,2013-04-01
86,396,29,16,351,,"111,2","90,9","68,6","115,2",,"385,4","225,1","401,2",,"3.161,7","2.491,6","3.227,7","2 7. la Dreta de l""Eixample",2013-04-01
87,255,3,0,252,,"88,5","55,0",-,"88,9",,"284,1","290,0","284,1",,"3.099,3","5.190,5","3.068,0","2 8. l""Antiga Esquerra de l""Eixample",2013-04-01
88,213,19,1,193,,"81,2","91,3","91,0","80,0",,"257,0","217,4","262,7",,"3.217,8","2.377,0","3.337,9","2 9. la Nova Esquerra de l""Eixample",2013-04-01
89,133,0,0,133,,"79,6",-,-,"79,6",,"213,3",-,"213,3",,"2.769,7",-,"2.769,7",2 10. Sant Antoni,2013-04-01
90,302,0,0,302,,"60,5",-,-,"60,5",,"95,0",-,"95,0",,"1.607,2",-,"1.607,2",3 11. el Poble Sec - AEI Parc Montjuïc,2013-04-01
91,9,0,3,6,,"77,0",-,"70,0","80,5",,"55,9",-,"55,9",,"684,5",-,"684,5",3 12. la Marina del Prat Vermell - AEI Zona Franca,2013-04-01
92,89,0,13,76,,"75,3",-,"78,8","74,6",,"126,3",-,"126,3",,"1.876,8",-,"1.876,8",3 13. la Marina de Port,2013-04-01
93,32,0,0,32,,"72,8",-,-,"72,8",,"158,6",-,"158,6",,"2.188,7",-,"2.188,7",3 14. la Font de la Guatlla,2013-04-01
94,79,0,0,79,,"66,2",-,-,"66,2",,"142,6",-,"142,6",,"2.174,8",-,"2.174,8",3 15. Hostafrancs,2013-04-01
95,77,6,0,71,,"69,6","73,8",-,"69,2",,"132,3","124,5","136,6",,"1.678,6","1.589,3","1.727,3",3 16. la Bordeta,2013-04-01
96,78,7,1,70,,"62,9","82,6","58,0","60,8",,"255,9","387,2","124,6",,"3.282,9","4.785,8","1.780,0",3 17. Sants - Badal,2013-04-01
97,206,5,0,201,,"68,4","65,8",-,"68,5",,"151,2","149,6","151,3",,"2.185,6","2.268,0","2.177,0",3 18. Sants,2013-04-01
98,412,16,1,395,,"82,7","94,2","90,0","82,3",,"245,9","298,6","243,7",,"2.910,9","3.117,9","2.902,0",4 19. les Corts,2013-04-01
99,150,13,0,137,,"87,6","77,1",-,"88,7",,"285,7","296,3","284,2",,"3.155,6","3.920,3","3.048,7",4 20. la Maternitat i Sant Ramon,2013-04-01
100,105,2,0,103,,"141,7","211,0",-,"140,8",,"831,9",-,"818,0",,"5.183,6",-,"5.133,9",4 21. Pedralbes,2013-04-01
101,20,0,0,20,,"104,9",-,-,"104,9",,"468,3",-,"468,3",,"3.823,7",-,"3.823,7","5 22. Vallvidrera, el Tibidabo i les Planes",2013-04-01
102,156,0,0,156,,"119,2",-,-,"119,2",,"526,6",-,"526,6",,"4.309,4",-,"4.309,4",5 23. Sarrià,2013-04-01
